pub_id,researcher_id,title,year,citations,journal,open_access,grant_id,funding_body,year_awarded,amount_cad,project_title,status,first_name,last_name,field,institution,joined_year,h_index,publications_count,is_active,country,email
P015,R003,Causal Inference with Observational Data,2017,128,NeurIPS,False,G008,CFI,2023,45000.0,Ethical AI,completed,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca
P015,R003,Causal Inference with Observational Data,2017,128,NeurIPS,False,G013,CIHR,2016,95000.0,Healthcare NLP,completed,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca
P015,R003,Causal Inference with Observational Data,2017,128,NeurIPS,False,G015,Mitacs,2022,120000.0,Healthcare NLP,active,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca
P059,R009,Bias in NLP Benchmarks: A Critical Review,2010,68,JMLR,False,G026,CFI,2019,85000.0,Data for Good,pending,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca
P014,R022,Multi-lingual BERT Fine-Tuning,2013,160,JMLR,True,G010,CFI,2022,70000.0,Multilingual Models,completed,Minh,Nguyen,Statistics,McGill University,2017,17,51,False,France,minh.nguyen@university.edu
P006,R001,Transformer Models in Low-Resource Settings,2020,112,ICML,False,G011,CFI,2016,55000.0,Ethical AI,completed,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
P006,R001,Transformer Models in Low-Resource Settings,2020,112,ICML,False,G018,SSHRC,2017,75000.0,AI for Climate,pending,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
P025,R010,Bias in NLP Benchmarks: A Critical Review,2023,20,JMLR,False,G021,Mitacs,2017,100000.0,Ethical AI,completed,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca
P045,R010,Federated Learning for Privacy Preservation,2017,52,ICLR,False,G021,Mitacs,2017,100000.0,Ethical AI,completed,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca
P048,R001,Efficient Data Pipelines at Scale,2017,62,ACL,False,G011,CFI,2016,55000.0,Ethical AI,completed,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca
